Copyright 1986-2016 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2016.2 (lin64) Build 1577090 Thu Jun  2 16:32:35 MDT 2016
| Date         : Wed Nov 18 21:46:49 2020
| Host         : umma running 64-bit Ubuntu 18.04.4 LTS
| Command      : report_utilization -hierarchical -file ./Impl/TopDown/top-post-place-util.txt
| Design       : mkPcieTop
| Device       : 7vx485tffg1761-2
| Design State : Fully Placed
-----------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------+-----------------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
|                                       Instance                                      |                     Module                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP48 Blocks |
+-------------------------------------------------------------------------------------+-----------------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
| mkPcieTop                                                                           |                                         (top) |     272908 |     256864 |   15980 |   64 | 92912 |    857 |     15 |            0 |
|   (mkPcieTop)                                                                       |                                         (top) |        114 |        114 |       0 |    0 |   427 |      0 |      0 |            0 |
|   GetPutWithClocks_inst_mkConnectionWithClocks_synchronizer                         |                                      SyncFIFO |         17 |         13 |       4 |    0 |    42 |      0 |      0 |            0 |
|   host_pcieHostTop_ep7                                                              |                              mkPcieEndpointX7 |       3530 |       3470 |       0 |   60 |  4322 |      4 |      0 |            0 |
|     (host_pcieHostTop_ep7)                                                          |                              mkPcieEndpointX7 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |            0 |
|     fAxiRx                                                                          |                         FIFO2__parameterized0 |        159 |        159 |       0 |    0 |   308 |      0 |      0 |            0 |
|     fAxiTx                                                                          |                         FIFO2__parameterized1 |        206 |        206 |       0 |    0 |   266 |      0 |      0 |            0 |
|     pcie_ep                                                                         |                                    pcie2_7x_0 |       3081 |       3021 |       0 |   60 |  3739 |      4 |      0 |            0 |
|       (pcie_ep)                                                                     |                                    pcie2_7x_0 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
